Date,Open,High,Low,Close,Adj Close,Volume
24/04/2001,552.320007,556.47998,547.390015,555.640015,555.640015,34670400
25/04/2001,552.690002,566.340027,551.150024,566.340027,566.340027,37654500
26/04/2001,569.580017,570.98999,560.840027,561.619995,561.619995,30580200
27/04/2001,561.059998,563.76001,553.669983,556.630005,556.630005,23112000
30/04/2001,565.440002,577.52002,564.719971,577.359985,577.359985,37149900
02/05/2001,586.27002,587.179993,580.390015,583.700012,583.700012,59462200
03/05/2001,583.219971,584.679993,576.530029,584.400024,584.400024,39007200
04/05/2001,575.690002,585.599976,575.690002,585.599976,585.599976,39247100
07/05/2001,588.880005,599.049988,584.789978,596.5,596.5,47171900
08/05/2001,594.320007,597.950012,590.650024,590.909973,590.909973,48439800
09/05/2001,589.059998,589.419983,578.340027,578.840027,578.840027,52772900
10/05/2001,579.159973,584.330017,575.429993,581.380005,581.380005,55712600
11/05/2001,581.73999,584.280029,577.909973,583.059998,583.059998,54670100
14/05/2001,585.130005,588.130005,580.820007,584.080017,584.080017,52695500
15/05/2001,583.72998,585.73999,579.080017,581.299988,581.299988,55755200
16/05/2001,578.679993,585.669983,572.359985,572.400024,572.400024,52925200
17/05/2001,588.150024,596.390015,585.590027,596.390015,596.390015,56511200
18/05/2001,594.559998,600.539978,591.630005,600.539978,600.539978,59539700
21/05/2001,606.869995,620.890015,606.460022,618.960022,618.960022,75010000
22/05/2001,628.820007,630.080017,617.98999,617.98999,617.98999,79430300
23/05/2001,620.030029,625.799988,616.559998,622.599976,622.599976,52629100
24/05/2001,614.219971,624.460022,612.619995,622.280029,622.280029,56154200
25/05/2001,626.969971,633.159973,623.049988,624.109985,624.109985,63424400
28/05/2001,620.200012,622.669983,618.140015,618.469971,618.469971,43484100
29/05/2001,616.940002,632.090027,615.869995,632.049988,632.049988,53044200
30/05/2001,629.450012,629.900024,620.950012,628.419983,628.419983,44965600
31/05/2001,612.450012,617.659973,608.799988,612.159973,612.159973,38498300
01/06/2001,615.669983,617.090027,603.840027,607.070007,607.070007,35879100
04/06/2001,609.059998,613.210022,606.719971,610.909973,610.909973,34132300
05/06/2001,612.630005,615,597.659973,597.659973,597.659973,36031300
06/06/2001,612.630005,615,597.659973,597.659973,597.659973,36031300
07/06/2001,594.280029,601.349976,594.280029,601.140015,601.140015,32804300
08/06/2001,608.47998,621.900024,608.330017,621.780029,621.780029,44248300
11/06/2001,612.460022,615.409973,607.200012,608.22998,608.22998,34012300
12/06/2001,605.359985,611.880005,603.909973,607.150024,607.150024,31987700
13/06/2001,611.789978,614.049988,607.47998,614.049988,614.049988,39241500
14/06/2001,612.960022,623.369995,610.359985,613.75,613.75,42052000
15/06/2001,609.539978,618.960022,604.369995,618.960022,618.960022,37583000
18/06/2001,617.659973,619.820007,607.929993,608.780029,608.780029,47420700
19/06/2001,606.039978,615.849976,605.799988,608.909973,608.909973,43662500
20/06/2001,603.289978,604.780029,593.75,595.719971,595.719971,44047500
21/06/2001,597.719971,599.76001,589.460022,595.530029,595.530029,40419600
22/06/2001,597.340027,602.700012,593.330017,599.080017,599.080017,39523700
25/06/2001,597.369995,602.77002,594.039978,598.02002,598.02002,30986700
26/06/2001,597.809998,598.960022,586.119995,588.710022,588.710022,31273500
27/06/2001,587.309998,590.73999,580.75,584.76001,584.76001,33038900
28/06/2001,585.659973,591.030029,582.909973,583.27002,583.27002,268800
29/06/2001,594.02002,595.130005,589.179993,595.130005,595.130005,225200
02/07/2001,593.030029,598.23999,592.900024,596.73999,596.73999,201600
03/07/2001,598.669983,598.669983,593.559998,594.309998,594.309998,209200
04/07/2001,591.01001,597.25,586.309998,597.25,597.25,226800
05/07/2001,598.950012,600.51001,592.799988,593.609985,593.609985,195600
06/07/2001,581.849976,585.080017,578.130005,578.539978,578.539978,216000
09/07/2001,565.340027,568.210022,555.659973,560,560,250600
10/07/2001,563.210022,565.51001,557.51001,558.599976,558.599976,229000
11/07/2001,547.150024,558.530029,545.76001,553.650024,553.650024,208200
12/07/2001,561.5,566.26001,559.950012,559.950012,559.950012,302800
13/07/2001,571.159973,571.159973,546.969971,548.48999,548.48999,259000
16/07/2001,551.429993,554.929993,545.169983,548.929993,548.929993,228200
18/07/2001,550.940002,551.969971,539.039978,540.530029,540.530029,275400
19/07/2001,534.130005,545.73999,534.130005,545.73999,545.73999,263200
20/07/2001,540.26001,541.950012,534.390015,537.710022,537.710022,275200
23/07/2001,535,538.349976,522.380005,524.210022,524.210022,265200
24/07/2001,518.940002,527.369995,512.780029,526.619995,526.619995,485600
25/07/2001,519.73999,528.330017,516.640015,526.080017,526.080017,371400
26/07/2001,529.650024,531.960022,527.219971,529.219971,529.219971,313200
27/07/2001,536.859985,542.580017,534.940002,541.130005,541.130005,396000
30/07/2001,542.080017,542.080017,532.849976,533.530029,533.530029,274200
31/07/2001,534.840027,541.549988,532.549988,541.549988,541.549988,202400
01/08/2001,546.299988,563.669983,542,562.789978,562.789978,441200
02/08/2001,565.390015,572.030029,557.289978,567.460022,567.460022,445800
03/08/2001,572,572,563.549988,568.690002,568.690002,267800
06/08/2001,564.719971,573.559998,563.530029,569.369995,569.369995,375400
